,shortest
0,4864.015446486391
1,4236.275885110597
2,4236.275885110597
3,4258.81010753786
4,4769.85695034844
5,4821.468265311072
6,4341.353067298529
7,4341.353067298529
8,4196.035232341926
9,3935.790596098832
10,4158.282912140108
11,4132.442270521373
12,4452.70518338207
13,4452.70518338207
14,4452.70518338207
15,4349.00116571214
16,4349.00116571214
17,4349.00116571214
18,4349.00116571214
19,4320.807930244617
20,4389.404367835614
21,4389.404367835614
22,4228.033057231552
23,4034.046283777463
24,4244.435916307103
25,4244.435916307103
26,4244.435916307103
27,4244.435916307103
28,4244.435916307103
29,4344.785974320788
30,4355.418703486048
31,4289.634392943919
32,4289.634392943919
33,4414.759211847961
34,4318.970831188387
35,3883.24386714017
36,3883.24386714017
37,3980.8954484933124
38,4514.004734424314
39,3868.827604002684
40,3868.827604002684
41,3955.9460080364174
42,4072.0479097464613
43,4072.0479097464613
44,4072.0479097464613
45,4434.202421392507
46,4067.166104889394
47,4298.532956463013
48,4298.532956463013
49,4298.532956463013
50,4627.601217575886
51,4721.145405219356
52,4703.341166091921
53,4419.482153536425
54,4474.562318597142
55,4474.562318597142
56,4637.403641723083
57,4637.403641723083
58,4637.403641723083
59,4637.403641723083
60,4482.25896568006
61,4637.403641723083
62,4135.814126774426
63,4135.814126774426
64,4135.814126774426
65,4135.814126774426
66,4219.530030450557
67,4360.1343761645685
68,4382.947458214104
69,4548.020933565543
70,4026.8276148488526
71,4026.8276148488526
72,4377.408021048818
73,4552.099524960662
74,4341.094745053727
75,4341.094745053727
76,4341.094745053727
77,4411.774440173174
78,4104.228551323719
79,4104.228551323719
80,4104.228551323719
81,4067.770511319384
82,4104.228551323719
83,4389.812661555972
84,4389.812661555972
85,4153.900203532207
86,4563.840988664978
87,4411.445719988967
88,4222.45933460586
89,4222.45933460586
90,4222.45933460586
91,4411.445719988967
92,4411.445719988967
93,4287.000093836936
94,4300.845152815727
95,4300.845152815727
96,4300.845152815727
97,4300.845152815727
98,3762.299533004616
99,3762.299533004616
100,4361.89799377646
101,3867.7655455431286
102,3867.7655455431286
103,3867.7655455431286
104,3867.7655455431286
105,3867.7655455431286
106,3867.7655455431286
107,3867.7655455431286
108,3867.7655455431286
109,3867.7655455431286
110,3867.7655455431286
111,3867.7655455431286
112,4328.001197079182
113,4328.001197079182
114,4471.552503661373
115,4471.552503661373
116,4471.552503661373
117,4583.595020048268
118,4794.811218256622
119,4350.400432691356
120,4583.360328458864
121,4599.078029411753
122,4147.991631629702
123,4147.991631629702
124,4147.991631629702
125,4147.991631629702
126,4320.017559061592
127,4320.017559061592
128,4320.017559061592
129,4213.577184081245
130,4213.577184081245
131,4213.577184081245
132,4213.577184081245
133,4352.495534122612
134,4352.495534122612
135,4352.495534122612
136,4352.495534122612
137,4226.392646324439
138,4226.392646324439
139,4226.392646324439
140,4226.392646324439
141,4072.1632597131447
142,4347.563672314199
143,4385.90848520213
144,4549.565913872728
145,4633.633381186802
146,3875.681446950838
147,3875.681446950838
148,4531.030124094536
149,4633.633381186802
150,4882.334558467318
151,4800.59768851391
152,4538.670481533909
153,4522.049468118356
154,4565.6293289888235
155,3938.6609738493175
156,3938.6609738493175
157,3938.6609738493175
158,4132.901300399403
159,4132.901300399403
160,4132.901300399403
161,4315.5202458784715
162,4315.5202458784715
163,4223.9434710977575
164,4223.9434710977575
165,4093.9220267403207
166,4825.448418393241
167,4499.050114622943
168,4825.448418393241
169,4562.336705664229
170,4385.248271517768
171,4385.248271517768
172,4303.343213659541
173,4385.642822618018
174,4489.32485038932
175,4425.781566328498
176,4462.143895907919
177,4441.677253462924
178,4441.677253462924
179,4441.677253462924
180,4441.677253462924
181,4441.677253462924
182,3961.986044983335
183,3961.986044983335
184,3877.4804241704237
185,3877.4804241704237
186,3877.4804241704237
187,4287.174913494343
188,4319.345587096891
189,4319.345587096891
190,4319.345587096891
191,4377.3000944281375
192,4377.3000944281375
193,4576.555734868254
194,4727.170988481649
195,4665.800152259809
196,4665.800152259809
197,4775.500857298208
198,4272.367981556289
199,4272.367981556289
200,4668.447718487336
201,4061.50250773295
202,4734.959103799015
203,4734.959103799015
204,4755.473935018021
205,4223.011880646691
206,4298.444323104735
207,4298.444323104735
208,4695.358419459503
209,4508.143002990477
210,4508.143002990477
211,4508.143002990477
212,4508.143002990477
213,4288.131303052671
214,4061.123562875197
215,4215.804121180826
216,4512.461165680116
217,4251.503634987726
218,4251.503634987726
219,4029.2589474599813
220,4029.2589474599813
221,4097.526948629828
222,4097.526948629828
223,4097.526948629828
224,4097.526948629828
225,4097.526948629828
226,4097.526948629828
227,4297.82093882408
228,4297.82093882408
229,4159.147730228468
230,3952.3797499787374
231,3952.3797499787374
232,3971.4065646498625
233,4128.928234231811
234,4128.928234231811
235,4125.305279953942
236,4125.305279953942
237,4268.146278997705
238,4378.613079690278
239,4415.742601525742
240,4195.7020713517
241,4119.938976376277
242,4119.938976376277
243,4119.938976376277
244,4119.938976376277
245,4119.938976376277
246,4119.938976376277
247,3890.081562167031
248,3890.081562167031
249,3890.081562167031
250,3890.081562167031
251,3890.081562167031
252,3890.081562167031
253,4473.700382736568
254,4378.573747553384
255,4378.573747553384
256,4378.573747553384
257,4438.704625944506
258,4438.704625944506
259,4438.704625944506
260,4520.97519267692
261,4622.332785235586
262,4573.533939873317
263,4637.5824842941865
264,4822.167743670003
265,4533.346296859173
266,4533.346296859173
267,4390.307582387815
268,4390.307582387815
269,4390.307582387815
270,4490.722393806672
271,4490.722393806672
272,4643.062844196506
273,4192.8191447329655
274,4192.8191447329655
275,4192.8191447329655
276,4192.8191447329655
277,4192.8191447329655
278,4192.8191447329655
279,4192.8191447329655
280,4192.8191447329655
281,4192.8191447329655
282,4315.567172924786
283,4315.567172924786
284,4445.828849693969
285,4364.785538634943
286,4338.469584388049
287,4324.322591270513
288,4324.322591270513
289,4355.756233443723
290,4355.756233443723
291,4394.972457056879
292,4248.260226708612
293,4248.260226708612
294,4248.260226708612
295,4205.877482969282
296,4205.877482969282
297,4205.877482969282
298,4205.877482969282
299,3914.060113072433
300,3914.060113072433
301,4205.877482969282
302,4151.532746386936
303,4151.532746386936
304,4508.395145701325
305,4508.395145701325
306,4508.395145701325
307,4331.352287368976
308,4339.575029976982
309,4331.846923816754
310,4197.645630431421
311,4331.846923816754
312,4331.846923816754
313,4597.476855149574
314,4359.040844045411
315,4359.040844045411
316,4359.040844045411
317,4093.2014298130234
318,4093.2014298130234
319,4495.369638773884
320,4468.131681248895
321,4468.131681248895
322,4049.516690176535
323,4294.786790629584
324,4390.788417063451
325,3990.135265986905
326,3990.135265986905
327,4112.802359885785
328,4112.802359885785
329,4112.802359885785
330,4112.802359885785
331,4112.802359885785
332,4425.313898940144
333,4419.904573881576
334,4437.132331517387
335,4175.501977647445
336,4206.846511045726
337,4437.132331517387
338,4453.027582380062
339,3962.5965490158715
340,3962.5965490158715
341,3949.9637879027523
342,3726.5911573507888
343,3726.5911573507888
344,3732.974833078781
345,4060.3619287299816
346,4060.3619287299816
347,4060.3619287299816
348,3785.4332271978346
349,3785.4332271978346
350,3785.4332271978346
351,3785.4332271978346
352,3846.781080824331
353,3846.781080824331
354,3846.781080824331
355,3846.781080824331
356,3846.781080824331
357,3846.781080824331
358,4292.512360263822
