,total
0,641215.9225668916
1,616369.9369703287
2,620177.1907641853
3,628382.8727434182
4,607698.3040235112
5,603882.3705407978
6,580215.5163167118
7,585413.66967116
8,591822.72637527
9,584218.3388854899
10,578446.3659389563
11,594852.7922733586
12,598104.2275060517
13,599676.3531038363
14,582239.3699000564
15,578155.4653490455
16,575150.4332223496
17,576925.3241491613
18,572696.9633576991
19,566150.8835554506
20,566461.7233036428
21,579674.5066435569
22,568867.6111583284
23,572026.2473329087
24,574569.9048491467
25,581727.9934986611
26,585069.9097572475
27,595570.1765435623
28,600501.2680533648
29,599243.4017043236
30,589227.0426636435
31,594245.111331722
32,584112.2058085179
33,580277.5062201986
34,600919.3810152706
35,593587.5108523743
36,605506.4236441705
37,602574.0182362515
38,596866.8551295833
39,576340.144577583
40,582998.7407316937
41,583115.4869438943
42,567172.5870937507
43,578170.436827775
44,576430.8040978531
45,587529.9259384534
46,586090.6510444448
47,596151.8112393501
48,602143.117594909
49,603514.7150610249
50,598425.8904281111
51,597391.0536423149
52,590042.8252392651
53,586910.0183039883
54,581899.3059734192
55,592820.4565600674
56,581823.0684456151
57,595704.3615099295
58,583942.914398226
59,580732.9479701893
60,589003.9639641477
61,592073.2096389668
62,594203.8376403137
63,583798.8319137854
64,600908.9975474743
65,585046.0445739374
66,595877.7031014888
67,588835.5312013975
68,597580.4813574824
69,587117.5282297442
70,579033.7008113953
71,576405.321428643
72,576016.0731388197
73,567599.6382378013
74,585534.6715442729
75,597257.8699979427
76,603714.766460774
77,601025.818722768
78,589963.5460913727
79,598494.4650193506
80,588242.5593411792
81,582351.445408346
82,575745.383688053
83,565378.3083764554
84,566729.3000589075
85,579540.274840512
86,593772.4484388737
87,585678.7070119581
88,602625.7658716418
89,591142.0284499347
90,591458.3762190228
91,587827.70401935
92,583041.5444604676
93,591549.3404829407
94,575654.5393785576
95,569216.7725514028
96,589523.1774192773
97,567456.3777013874
98,567668.5609452096
99,593503.2094295735
100,582474.6507524146
101,560788.0639100666
102,567858.1191569524
103,581466.6126911714
104,575860.0281661012
105,570529.6949603334
106,588589.8112985794
107,590578.5349219515
108,610223.4793545158
109,593510.0855396533
110,596198.4076503451
111,587496.6584429113
112,597045.8085356925
113,589756.0950083298
114,603548.8811778312
115,602894.5788806112
116,598793.9495077889
117,609459.1835753281
118,601708.6401216194
119,596798.6236108766
120,594953.083274349
121,581873.9985513617
122,572501.9075401244
123,593710.6251514322
124,586575.2054236239
125,594129.3930268981
126,603536.2324450494
127,597639.0090258443
128,589078.4293284471
129,575452.728011001
130,575961.9203571433
131,584705.4992037144
132,593971.8532776886
133,596635.288606351
134,583820.9999140447
135,594681.335151663
136,604874.9454541318
137,602137.5960200841
138,581710.9922462167
139,585329.8004587445
140,579476.3192298291
141,581314.3591626905
142,585704.2483301148
143,587332.9167887922
144,584446.7626160355
145,603068.2025793626
146,589592.2067823908
147,597475.2051594381
148,599841.1325413426
149,599204.9472639613
150,604777.7684556417
151,604587.5138505516
152,593038.2914479263
153,581749.716116647
154,597942.4008904198
155,586720.3212272363
156,598659.2059814496
157,590255.9014113793
158,580917.5642089952
159,623649.509452108
160,623427.1201952812
161,611830.9856545387
162,587701.0295045401
163,594651.4382609461
164,594319.7586242422
165,586641.0742387606
166,581396.6426550464
167,566318.1030577634
168,589033.9275775512
169,571030.8199681817
170,589359.4218484138
171,572716.1193652499
172,582594.2141108355
173,595465.7800897518
174,589618.3397401177
175,592042.9079575007
176,575158.9128619292
177,566978.654981064
178,578810.8237026508
179,598602.0796642994
180,592227.3198708645
181,591041.1188267911
182,592321.5893541407
183,572645.9074871361
184,580780.4683460537
185,576527.2247684256
186,566335.9642890062
187,585241.146245817
188,580053.7783268046
189,571569.4948560607
190,570594.2053494508
191,586197.6137931478
192,594303.0829399199
193,585616.9006769166
194,596197.7881445156
195,593668.3353415689
196,610116.6965441568
197,599969.7875158907
198,597930.9538684466
199,586689.7907571926
200,591108.9741805865
